,Cluster,age,Years_Enrolled,age_divide,Recency,Income,Total_Expenses,Savings,economic_status,Qualification,togetherness,family,children,Kidhome,MntWines,Teenhome,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Ttl_Campaign,Ttl_no_Purchase,Deals_Purchase_Ratio,Store_Purchase_Ratio,Web_Purchase_Ratio,Catalogue_Purchase_Ratio,avg_web_visits,Ttl_place_purchase
0,Upper middle class,66,11,Elderly,frequent,58138.0,1705,56433.0,Upper middle,Graduate,no,no,0,0,635,0,88,546,172,88,88,3,8,10,4,7,no,no,no,no,no,no,yes,0,25,0.12,0.16,0.32,0.4,0.5833333333333334,25
1,Lowest,69,9,Elderly,not frequent,46344.0,28,46316.0,Lower middle,Graduate,no,no,2,1,11,1,1,6,2,1,6,2,1,1,2,5,no,no,no,no,no,no,no,0,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.4166666666666667,6
2,Highest economic class,58,10,MiddleAge,not frequent,71613.0,825,70788.0,Upper middle,Graduate,yes,no,0,0,426,0,49,127,111,21,42,1,8,2,10,4,no,no,no,no,no,no,no,0,21,0.047619047619047616,0.47619047619047616,0.38095238095238093,0.09523809523809523,0.3333333333333333,21
3,Lowest,39,9,Young,not frequent,26646.0,57,26589.0,Low,Graduate,yes,yes,1,1,11,0,4,20,10,3,5,2,2,0,4,6,no,no,no,no,no,no,no,0,8,0.25,0.5,0.25,0.0,0.5,8
4,Highest economic class,42,9,Young,frequent,58293.0,465,57828.0,Upper middle,Post graduate,yes,yes,1,1,173,0,43,118,46,27,15,5,5,3,6,5,no,no,no,no,no,no,no,0,19,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.15789473684210525,0.4166666666666667,19
5,Highest economic class,56,10,MiddleAge,not frequent,62513.0,758,61755.0,Upper middle,Post graduate,yes,yes,1,0,520,1,42,98,0,42,14,2,6,4,10,6,no,no,no,no,no,no,no,0,22,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.5,22
6,Highest economic class,52,11,MiddleAge,not frequent,55635.0,655,54980.0,Lower middle,Graduate,no,no,1,0,235,1,65,164,50,49,27,4,7,3,7,6,no,no,no,no,no,no,no,0,21,0.19047619047619047,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.5,21
7,Lowest,38,10,Young,not frequent,33454.0,179,33275.0,Lower middle,Post graduate,yes,yes,1,1,76,0,10,56,3,1,23,2,4,0,4,8,no,no,no,no,no,no,no,0,10,0.2,0.4,0.4,0.0,0.6666666666666666,10
8,Lowest,49,10,MiddleAge,not frequent,30351.0,46,30305.0,Lower middle,Post graduate,yes,yes,1,1,14,0,0,24,3,3,2,1,3,0,2,9,no,no,no,no,no,no,yes,0,6,0.16666666666666666,0.3333333333333333,0.5,0.0,0.75,6
9,Lowest,73,9,Elderly,frequent,5648.0,49,5599.0,Extremly low,Post graduate,yes,yes,2,1,28,1,0,6,1,1,13,1,1,0,0,20,yes,no,no,no,no,no,no,1,2,0.5,0.0,0.5,0.0,1.6666666666666667,2
10,Lowest,40,10,Young,not frequent,51633.63813405797,24,51609.63813405797,Lower middle,Graduate,yes,yes,1,1,5,0,5,6,0,2,1,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
11,Lowest,47,11,MiddleAge,frequent,7500.0,77,7423.0,Low,Undergraduate,yes,no,0,0,6,0,16,11,11,1,16,1,2,0,3,8,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.5,0.3333333333333333,0.0,0.6666666666666666,6
12,Upper middle class,64,10,Elderly,frequent,63033.0,1163,61870.0,Upper middle,Graduate,no,no,0,0,194,0,61,480,225,112,30,1,3,4,8,2,no,no,no,no,no,no,no,0,16,0.0625,0.5,0.1875,0.25,0.16666666666666666,16
13,Low,71,10,Elderly,frequent,59354.0,312,59042.0,Upper middle,Post graduate,no,no,2,1,233,1,2,53,3,5,14,3,6,1,5,6,no,no,no,no,no,no,no,0,15,0.2,0.3333333333333333,0.4,0.06666666666666667,0.5,15
14,Lowest,36,11,Young,not frequent,17323.0,60,17263.0,Low,Graduate,yes,no,0,0,3,0,14,17,6,1,5,1,1,0,3,8,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.6666666666666666,5
15,Lower middle,77,11,Elderly,not frequent,82800.0,1337,81463.0,Upper middle,Post graduate,no,no,0,0,1006,0,22,115,59,68,45,1,7,6,12,3,no,no,yes,yes,no,no,yes,2,26,0.038461538461538464,0.46153846153846156,0.2692307692307692,0.23076923076923078,0.25,26
