,age,Years_Enrolled,Qualification,family,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
0,66,11,1,0,58138.0,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1
1,69,9,1,0,46344.0,1,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0
2,58,10,1,0,71613.0,1,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0
3,39,9,1,1,26646.0,1,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0
4,42,9,2,1,58293.0,0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0
5,56,10,2,1,62513.0,1,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0
6,52,11,1,0,55635.0,1,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0
7,38,10,2,1,33454.0,1,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0
8,49,10,2,1,30351.0,1,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1
9,73,9,2,1,5648.0,0,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0
10,40,10,1,1,51633.63813405797,1,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0
11,47,11,0,0,7500.0,0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0
12,64,10,1,0,63033.0,0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0
13,71,10,2,0,59354.0,0,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0
14,36,11,1,0,17323.0,1,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0
15,77,11,2,0,82800.0,1,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1
16,43,11,1,1,41850.0,0,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0
17,77,11,1,0,37760.0,1,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
18,74,10,2,1,76995.0,0,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0
19,38,11,1,0,33812.0,0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0
20,41,11,1,0,37040.0,1,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0
21,44,10,1,1,2447.0,1,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0
22,74,11,2,1,58607.0,0,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0
23,69,9,2,1,65324.0,1,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
24,72,10,1,1,40689.0,0,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0
25,54,10,1,0,18589.0,0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0
26,47,10,1,1,53359.0,1,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0
27,37,10,1,0,51633.63813405797,1,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0
28,34,10,1,1,38360.0,1,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0
29,58,10,2,0,84618.0,0,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0
30,34,9,2,0,10979.0,1,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
31,60,10,2,0,38620.0,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
32,53,11,1,1,40548.0,1,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0
33,71,11,2,0,46610.0,1,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1
34,77,10,2,0,68657.0,1,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0
35,72,10,2,0,49389.0,0,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0
36,53,10,2,1,67353.0,1,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0
37,47,10,1,1,23718.0,0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0
38,50,9,1,0,42429.0,0,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0
39,80,10,2,0,48948.0,0,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1
40,43,10,1,1,80011.0,1,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0
41,38,10,2,1,20559.0,0,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0
42,66,11,1,1,21994.0,1,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
43,64,10,2,0,51633.63813405797,0,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0
44,48,10,2,1,7500.0,1,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0
45,47,9,1,0,79941.0,0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0
46,27,11,1,0,7500.0,1,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1
47,55,10,1,1,41728.0,0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0
48,72,9,1,0,51633.63813405797,0,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0
49,69,11,2,1,72550.0,1,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0
50,66,9,1,0,65486.0,1,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0
51,59,11,2,0,79143.0,1,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
52,46,10,1,0,35790.0,0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0
53,46,9,1,0,82582.0,0,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1
54,45,10,1,1,66373.0,0,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0
55,68,11,2,0,82384.0,0,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1
56,57,10,1,0,70287.0,1,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1
57,35,9,1,0,27938.0,1,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0
58,41,10,1,0,51633.63813405797,0,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0
59,55,9,2,1,55954.0,0,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0
60,41,10,2,0,75777.0,1,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1
61,48,11,1,1,66653.0,1,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0
62,71,10,1,0,61823.0,1,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0
63,72,10,2,0,67680.0,1,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0
64,75,10,1,0,70666.0,1,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0
65,52,10,1,1,25721.0,0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1
66,56,9,1,1,32474.0,1,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
67,44,9,1,0,88194.0,1,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1
68,65,10,1,1,69096.0,1,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0
69,53,10,1,1,74854.0,0,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0
70,69,11,2,0,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0
71,50,11,1,1,51633.63813405797,1,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0
72,64,10,1,1,65031.0,1,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0
73,48,10,2,1,60631.0,0,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0
74,71,9,1,0,28332.0,0,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0
75,46,11,1,0,40246.0,0,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0
76,51,11,2,0,75251.0,1,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1
77,47,11,1,0,75825.0,1,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1
78,47,10,1,0,26326.0,1,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0
79,58,10,1,0,56046.0,1,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1
80,38,11,1,0,29760.0,0,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0
81,54,10,1,1,26304.0,1,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
82,50,10,1,1,23559.0,0,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0
83,60,10,2,0,38620.0,0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
84,36,9,1,0,81361.0,1,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0
85,63,10,1,1,29440.0,0,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0
86,53,10,2,1,36138.0,1,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0
87,66,9,1,0,50388.0,1,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1
88,50,9,1,0,79593.0,0,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0
89,56,9,1,1,54178.0,0,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0
90,66,11,2,1,51633.63813405797,1,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0
91,66,9,1,0,51633.63813405797,1,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0
92,50,10,2,0,51633.63813405797,0,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0
93,51,9,2,0,42394.0,0,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0
94,53,9,2,1,23626.0,0,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0
95,40,9,1,1,30096.0,1,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0
96,63,11,1,0,47916.0,0,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0
97,51,10,1,0,51813.0,1,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0
98,72,10,1,0,78497.0,1,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0
99,40,10,2,0,50150.0,1,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0
100,63,10,1,0,47823.0,1,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0
101,64,9,2,0,34554.0,1,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0
102,44,10,1,1,85693.0,0,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0
103,78,10,2,0,65846.0,0,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0
104,64,9,1,0,87195.0,1,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1
105,44,10,0,1,24594.0,0,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0
106,59,10,1,1,49096.0,1,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0
107,54,10,1,1,52413.0,0,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0
108,45,11,1,0,38557.0,1,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0
109,63,11,2,0,89058.0,1,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0
110,44,10,1,1,77298.0,1,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0
111,32,11,2,0,68126.0,1,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1
112,60,9,2,1,57288.0,1,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0
113,32,10,1,0,86037.0,0,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1
114,43,11,2,1,43974.0,1,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0
115,61,10,1,0,50785.0,1,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0
116,53,9,1,0,90765.0,1,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0
117,45,10,1,1,36550.0,0,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0
118,56,10,1,1,30753.0,0,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0
119,54,10,1,1,21918.0,1,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0
120,70,10,2,1,56129.0,0,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
121,56,9,2,0,32557.0,1,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1
122,38,10,2,1,19510.0,0,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0
123,47,10,1,0,30992.0,0,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0
124,40,10,1,0,101970.0,0,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1
125,58,10,1,0,71488.0,0,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0
126,39,10,1,0,79607.0,1,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1
127,70,9,2,1,54348.0,0,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0
128,62,10,2,1,51633.63813405797,1,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0
129,67,9,2,1,77376.0,0,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0
130,71,10,1,1,62998.0,1,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0
131,65,10,2,0,61331.0,1,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0
132,54,9,1,0,73448.0,1,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0
133,60,10,1,1,51633.63813405797,0,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0
134,59,10,2,1,41551.0,0,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0
135,56,10,2,0,62981.0,1,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0
136,47,11,0,0,9548.0,1,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0
137,64,10,2,1,33762.0,0,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0
138,50,9,2,0,35860.0,1,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1
139,58,10,2,0,36921.0,0,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0
140,31,11,2,0,92859.0,1,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0
141,47,10,2,1,65104.0,1,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1
142,61,10,1,0,86111.0,0,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0
143,49,10,2,0,68352.0,1,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0
144,35,10,1,1,41883.0,1,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0
145,47,11,1,1,59809.0,1,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0
146,48,11,1,1,23957.0,1,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1
